name,index,title,line1,line2,line3,line4,line5,start,end,color-id
Palmyra built,1,2000 BC Palmyra built,2000 BC,Palmyra,Built,,,-2000,2016,1
Death of Christ,1,33 AD Death of Christ,33 AD,Death,of Christ,,,33,2016,1
Inscription in UNESCO list,1,1980 Inscription in UNESCO list,1980,Inscription in,UNESCO,list,,1980,2016,1
Arab spring start of the Syrian civil war,1,2012 Arab spring start of the Syrian civil war,2012,Start of,Syrian ,Civil War,,2012,2016,2
Inscription in UNESCO danger list,2,2013 Inscription in UNESCO danger list,2013,Inscription in,UNESCO,danger list,,2013,2016,2
,3,May 2015 ISIL takes control of Palmyra,2015,May,ISIL takes,control of,Palmyra,2015,2016.3,2
,4,April 2016 ISIL is drove out of Palmyra,2016,April,ISIL drove,out of,Palmyra,2016.5,2016.5,2
,1,2016,2016,,,,,2016,2016,2
